profile,status,reason,signer,label,shape,source_name,source_zip_rel,source_folder_rel,source_path_rel,dest_path_rel,content_sha1,error
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013459_439775.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0001_FF1D2E8AB1.npy,ff1d2e8ab1d1e3e130124949f01b25c0351dbfa2,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013542_993798.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0002_7BE555B09E.npy,7be555b09e6904f1b89b24dbbf70ae07582cde2e,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013551_713595.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0003_DAA274368E.npy,daa274368e7f70d7e71c8e9ed3941fed9bbeb77b,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013559_754872.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0004_14AE2AA840.npy,14ae2aa840d09605aba7085a6a154eaaf3a6a75a,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013613_150625.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0005_3C5BFB6A66.npy,3c5bfb6a6616ed7a3706ce7db9c534f584043830,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013647_301277.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0006_3EB3EAD042.npy,3eb3ead0424c4af966be44df28ef317b07b0a8a9,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013734_902130.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0007_18F6599AF0.npy,18f6599af0a0fcf5a737514ddf7bc50d3619bea3,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013743_077440.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0008_D68E2308F4.npy,d68e2308f4a1c1676ba020cd5a883722c08b1d02,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013752_083308.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0009_9B62B9025E.npy,9b62b9025e6af255417f6ea3f93dfc80f90dd858,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013800_846655.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0010_F17AE4A1CB.npy,f17ae4a1cb0c7764c295e35248e922543b9c31ad,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013808_797383.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0011_EE1AA30CB5.npy,ee1aa30cb5bf5eb2b894d7ed97a0db1b42c72294,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013816_196687.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0012_B4DBB79CA0.npy,b4dbb79ca0ca5198cfb1d39e9fa5f07f87d3382c,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013823_492231.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0013_B5E87AC1BE.npy,b5e87ac1beb5faca655b3e10d3424d7d1498d91c,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013831_492247.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0014_AA208D5B4A.npy,aa208d5b4a13a28a6cfbe749c57cf13cbfaf9f06,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013839_662717.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0015_301A63170B.npy,301a63170b62bbabf2e7c0dc9d5640019c1a3840,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013848_544614.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0016_1D8AB9C674.npy,1d8ab9c674178a3b6f48546aa624059f38fb5912,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013855_989151.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0017_BFDDBBABEA.npy,bfddbbabea2bed4884e1b72c5dbe673cb23e4c16,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013904_181526.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0018_182F98941E.npy,182f98941e55293ad1cd6996a587177a62cd8e71,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_013911_123913.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0019_F53BB9BA92.npy,f53bb9ba92cc12dcb4ca85d27c57c0e6d36bcb56,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_014013_939270.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0020_FE875651D1.npy,fe875651d1078d1894a773b0d671d862219d17c3,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_014022_199603.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0021_A6D38F51B3.npy,a6d38f51b3bba01a1e850ba76400805419afb807,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_014030_903643.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0022_75B251E47F.npy,75b251e47fa76dec59ff66b15fc0bdfed7ed13e0,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_014039_616085.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0023_8C3FD2BD16.npy,8c3fd2bd1656e6a1e2ce45539138d2b58cec45af,
fullsign225_phrase_v1,copied,accepted,ANASTACIA,LIVE,30x225,RECORDED_FEATURES_ANASTACIA,external_datasets\recorded_features_anastacia.zip,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA,external_datasets\team_incoming_recorded_features\ANASTACIA\RECORDED_FEATURES_ANASTACIA\recorded_features\fullsign225_phrase_v1_features\_rejected\LIVE\reject_LIVE_20260525_014046_865314.npy,external_datasets\fullsign225_phrase_v1_features\LIVE\ANASTACIA_RECORDED_FEATURES_ANASTACIA_LIVE_0024_FDFF759A6A.npy,fdff759a6a6efa980ba9646deedab1d95d97969a,
