record_id,relative_path,source_label,class_index,raw_video_sha256,technical_status,partition,development_fold,group_id
967e634dec8b10d0,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/EIGHT/EIGHT_1.mp4,EIGHT,0,b65086d412f1ddc8371f1c90920c5602e72c3e314201b797c07e22a293630c94,PASS,development,3,sha-0260-b65086d412f1
85803e3d802bfbe5,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/EIGHT/EIGHT_10.mp4,EIGHT,0,e6921155f1e6456203b027a1ffdd6886d4990c899084e606414c37c571cbf9a7,PASS,development,3,sha-0330-e6921155f1e6
3e01f3b7c912abe2,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/EIGHT/EIGHT_11.mp4,EIGHT,0,f602ec247bc2acbd4ebd9305a19db756bf043ff6a14a1cc7fc8710a0c1791f57,PASS,development,0,sha-0356-f602ec247bc2
df5fb20133bab1fa,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/EIGHT/EIGHT_12.mp4,EIGHT,0,9724d0261e8bcf7a13a99b4141e7556a3b365baf801174f8f3577b1cdb691dc8,PASS,development,3,sha-0207-9724d0261e8b
f9806b5e2f83468c,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/EIGHT/EIGHT_14.mp4,EIGHT,0,6a67ada06dd2404f211284a2810bda2f96400d5b36c04f8cd9eb85e28ae91d47,PASS,sealed_test,,sha-0147-6a67ada06dd2
a762485163d4d860,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/EIGHT/EIGHT_19.mp4,EIGHT,0,2a6e19fe1b62eb02e944f6a926571b1297eeff3e4e764befe0ac460106313e64,PASS,development,1,sha-0064-2a6e19fe1b62
7875af2a2ce3b05f,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/EIGHT/EIGHT_20.mp4,EIGHT,0,b8ba72127385477a40e2c25385cb24e6b56762a3dab83c6ab34a9529669f604e,PASS,development,1,sha-0265-b8ba72127385
6d7360dbd49fced3,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/EIGHT/EIGHT_21.mp4,EIGHT,0,858482ab8304385474b560767724922f078c0045da82a613126772b98429546c,PASS,development,1,sha-0177-858482ab8304
3c7023af698259f5,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/EIGHT/EIGHT_22.mp4,EIGHT,0,017947a0e8315317ee4a1e995bcfd9df9c8b8a058b81ce0a5549c039857bf197,PASS,development,2,sha-0001-017947a0e831
bb831c112f994392,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/EIGHT/EIGHT_23.mp4,EIGHT,0,03c2b837a12b668de6c84690ca9714db5cd82b6d46916b60a944dc6c87b62f7d,PASS,sealed_test,,sha-0007-03c2b837a12b
