record_id,source_label,relative_path,partition,development_fold,mae,rmse,pearson,cosine,mp4_motion_start,npy_motion_start,motion_start_difference,mp4_motion_end,npy_motion_end,motion_end_difference,mp4_pose_present_frames,npy_pose_present_frames,pose_presence_difference,mp4_left_hand_present_frames,npy_left_hand_present_frames,left_hand_presence_difference,mp4_right_hand_present_frames,npy_right_hand_present_frames,right_hand_presence_difference,mp4_trajectory_motion_mean_l2,npy_trajectory_motion_mean_l2,mp4_trajectory_motion_p95_l2,npy_trajectory_motion_p95_l2,mp4_trajectory_motion_max_l2,npy_trajectory_motion_max_l2
8cccecb0392957ec,HELLO,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_11.mp4,development,3,0.066321905,0.153490016,0.980695922,0.983785686,9,9,0,59,74,15,75,75,0,61,62,1,0,0,0,0.870339180,0.984724575,3.097070064,6.161964289,12.403641216,12.227917914
ecf9c0bae346ffec,HELLO,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_15.mp4,development,2,0.050417853,0.197486906,0.967333497,0.973307926,0,0,0,73,73,0,75,75,0,70,69,-1,0,0,0,1.779963011,1.625751368,6.944280401,5.762445625,10.772698794,11.019888458
27fbd9fafbbe1785,HELLO,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_16.mp4,development,2,0.087555172,0.220142314,0.947542736,0.958764870,25,25,0,74,63,-11,75,75,0,56,55,-1,0,0,0,0.973825377,0.521856411,2.441248609,1.122690247,11.986229314,2.336863715
d6a2c561c7524f61,HELLO,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_17.mp4,development,1,0.094440089,0.222981356,0.948181034,0.959821912,19,18,-1,56,43,-13,75,75,0,53,55,2,0,0,0,0.562947565,0.690710974,1.564462920,2.809364106,5.130521389,6.407730102
9fb7ce796aacdce8,HELLO,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_18.mp4,sealed_test,,0.071325228,0.301643449,0.926207925,0.947775464,10,8,-2,54,54,0,75,75,0,39,40,1,0,0,0,1.777711948,2.581107242,6.395594403,11.406095831,16.100218712,30.907759411
9fe5d089948f2162,HELLO,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_19.mp4,development,3,0.138708803,0.629353887,0.744760725,0.805394706,9,9,0,67,73,6,75,75,0,65,66,1,0,0,0,1.603335196,4.414926659,5.095358016,15.684281835,9.383833263,63.085214125
cb64c7cc335acaf8,HELLO,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_21.mp4,development,3,0.149303569,0.362389589,0.802703632,0.854893120,17,13,-4,46,71,25,75,75,0,47,50,3,0,0,0,0.581466300,1.783796900,1.315482140,4.872004696,1.836759575,11.535452704
10ce86236a40de14,HELLO,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_23.mp4,development,3,0.051348880,0.124862697,0.990915393,0.991961155,12,12,0,55,70,15,75,75,0,61,61,0,0,0,0,0.721428480,0.757696309,2.277221592,2.889146863,10.678373350,8.635769584
38cab487727fb23a,HELLO,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_24.mp4,development,1,0.018659449,0.042809088,0.997885780,0.998447681,7,7,0,74,74,0,75,75,0,75,75,0,0,0,0,0.935701830,1.009566315,2.298609991,2.477205908,2.481810648,2.715659296
7e6b8b2c9a0eb1cb,HELLO,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_26.mp4,development,2,0.037796785,0.094718068,0.992216999,0.993433989,10,10,0,74,74,0,75,75,0,75,75,0,0,0,0,0.693247915,0.727161846,1.604647817,1.473323173,1.654116325,1.893446912
