record_id,source_dataset,relative_path,source_label,class_index,raw_video_sha256,technical_status,partition,development_fold,group_id,feature_sha256
8cccecb0392957ec,MAPUA_TRANSACTIONAL_FSL,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_11.mp4,HELLO,0,a4929da6de83c918f9771c0f584333054e0246473b85adf600a641a373a8a8f1,PASS,development,3,source-group-8cccecb0392957ec,36f2b59d889ed5467bff6f875e4d5cb0101808b0fe645bc151db8db575c1fd30
ecf9c0bae346ffec,MAPUA_TRANSACTIONAL_FSL,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_15.mp4,HELLO,0,09ff25d3b3a0b605afa4756b6abfd57eb423947ad9f8e3d18cb4fbbec6550f2e,PASS,development,2,source-group-ecf9c0bae346ffec,474e2e22f86d1169856fb0b540b1c4f83264ffb4dfa50c47eb85a4968764f1f8
27fbd9fafbbe1785,MAPUA_TRANSACTIONAL_FSL,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_16.mp4,HELLO,0,eb8d24319761dc0a3834fbb9a8c6640c54de6658057438c0cd1f98376763df65,PASS,development,2,source-group-27fbd9fafbbe1785,c24af9321b3221837255e39cbaa62a211af43807791672ccaee42e73c8ace47c
d6a2c561c7524f61,MAPUA_TRANSACTIONAL_FSL,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_17.mp4,HELLO,0,8a9935477905e33ccd65c759553ac329c97956e03974d30bf50037d0334865b2,PASS,development,1,source-group-d6a2c561c7524f61,73625877b42a863d8032fec9d72e40fdfffb1d300c2e6ebc639a2169ceec590f
9fb7ce796aacdce8,MAPUA_TRANSACTIONAL_FSL,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_18.mp4,HELLO,0,2588791b8f0e6c5d6ff1504ccf495975a6c506071be102e5b320eaf5ee2d2822,PASS,sealed_test,,source-group-9fb7ce796aacdce8,75fab44d16ecccffa2819c065fd094623f078e2c4800e88b8293a6b82d3b3bff
9fe5d089948f2162,MAPUA_TRANSACTIONAL_FSL,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_19.mp4,HELLO,0,01b497f86f60c809c088cbc630a2c0e698e37a2d75774064424e503f85ee8939,PASS,development,3,source-group-9fe5d089948f2162,3a1f72e653fa5990ba9300efd57324820cc005acf6457500f57615d06ca6bce3
cb64c7cc335acaf8,MAPUA_TRANSACTIONAL_FSL,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_21.mp4,HELLO,0,b33f8426b163d20ea508bab8493f998253c57261f7edcde6354fefa8c73ab202,PASS,development,3,source-group-cb64c7cc335acaf8,47116793ccaefff50b7ade713da8f11d0d45fed195a4a0b30f201969b4b03b19
10ce86236a40de14,MAPUA_TRANSACTIONAL_FSL,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_23.mp4,HELLO,0,9c8f18344e1a90355611debc4976678ee9a9b07648540f9f83c7aef01c0e02f3,PASS,development,3,source-group-10ce86236a40de14,266de3d6a939435922a637369d25e4a2872010a3d483c7bacd2869976f5f0c45
38cab487727fb23a,MAPUA_TRANSACTIONAL_FSL,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_24.mp4,HELLO,0,890ec14e55a167f9343ca8a189ca44260a88178c180445aae30816f13f32c312,PASS,development,1,source-group-38cab487727fb23a,d0ed148c4e73175d7dfdad1e9e11a9f19b3d6e445861f909e9153295c7ec5a73
7e6b8b2c9a0eb1cb,MAPUA_TRANSACTIONAL_FSL,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_26.mp4,HELLO,0,906eb10e4336953f5326c24647c4814a1d1318d9199e0a1cfd1d7f2300f4419b,PASS,development,2,source-group-7e6b8b2c9a0eb1cb,704f64eaa4eb5d10d90b82a8eb3e1f163bef5d5654655d5b1df347bfca268a1a
e6ed227a776de510,MAPUA_TRANSACTIONAL_FSL,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_28.mp4,HELLO,0,3650ba71c6a6fd87944ae7c9ac7037fecf71e7d47d4318a4aee8d64454003072,PASS,development,0,source-group-e6ed227a776de510,abc053b4cf39fa85c4030da620eeb002bd71881aef999694a534caa3bb47ca24
b7c6e9d86395af27,MAPUA_TRANSACTIONAL_FSL,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_30.mp4,HELLO,0,cb3369d91dd9d4207f02f554bf45d9b5eb641330b1cdc82b7c19234936578eef,PASS,sealed_test,,source-group-b7c6e9d86395af27,652d08dc211a503000b093316caf55fd0383c40ce3d9ded38135088487c1c552
