record_id,relative_path,source_label,class_index,raw_video_sha256,technical_status,partition,development_fold,group_id,feature_sha256
8cccecb0392957ec,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_11.mp4,HELLO,0,a4929da6de83c918f9771c0f584333054e0246473b85adf600a641a373a8a8f1,PASS,development,3,source-group-8cccecb0392957ec,36f2b59d889ed5467bff6f875e4d5cb0101808b0fe645bc151db8db575c1fd30
ecf9c0bae346ffec,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_15.mp4,HELLO,0,09ff25d3b3a0b605afa4756b6abfd57eb423947ad9f8e3d18cb4fbbec6550f2e,PASS,development,2,source-group-ecf9c0bae346ffec,474e2e22f86d1169856fb0b540b1c4f83264ffb4dfa50c47eb85a4968764f1f8
27fbd9fafbbe1785,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_16.mp4,HELLO,0,eb8d24319761dc0a3834fbb9a8c6640c54de6658057438c0cd1f98376763df65,PASS,development,2,source-group-27fbd9fafbbe1785,c24af9321b3221837255e39cbaa62a211af43807791672ccaee42e73c8ace47c
d6a2c561c7524f61,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_17.mp4,HELLO,0,8a9935477905e33ccd65c759553ac329c97956e03974d30bf50037d0334865b2,PASS,development,1,source-group-d6a2c561c7524f61,73625877b42a863d8032fec9d72e40fdfffb1d300c2e6ebc639a2169ceec590f
9fb7ce796aacdce8,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_18.mp4,HELLO,0,2588791b8f0e6c5d6ff1504ccf495975a6c506071be102e5b320eaf5ee2d2822,PASS,sealed_test,,source-group-9fb7ce796aacdce8,75fab44d16ecccffa2819c065fd094623f078e2c4800e88b8293a6b82d3b3bff
9fe5d089948f2162,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_19.mp4,HELLO,0,01b497f86f60c809c088cbc630a2c0e698e37a2d75774064424e503f85ee8939,PASS,development,3,source-group-9fe5d089948f2162,3a1f72e653fa5990ba9300efd57324820cc005acf6457500f57615d06ca6bce3
cb64c7cc335acaf8,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_21.mp4,HELLO,0,b33f8426b163d20ea508bab8493f998253c57261f7edcde6354fefa8c73ab202,PASS,development,3,source-group-cb64c7cc335acaf8,47116793ccaefff50b7ade713da8f11d0d45fed195a4a0b30f201969b4b03b19
10ce86236a40de14,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_23.mp4,HELLO,0,9c8f18344e1a90355611debc4976678ee9a9b07648540f9f83c7aef01c0e02f3,PASS,development,3,source-group-10ce86236a40de14,266de3d6a939435922a637369d25e4a2872010a3d483c7bacd2869976f5f0c45
38cab487727fb23a,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_24.mp4,HELLO,0,890ec14e55a167f9343ca8a189ca44260a88178c180445aae30816f13f32c312,PASS,development,1,source-group-38cab487727fb23a,d0ed148c4e73175d7dfdad1e9e11a9f19b3d6e445861f909e9153295c7ec5a73
7e6b8b2c9a0eb1cb,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_26.mp4,HELLO,0,906eb10e4336953f5326c24647c4814a1d1318d9199e0a1cfd1d7f2300f4419b,PASS,development,2,source-group-7e6b8b2c9a0eb1cb,704f64eaa4eb5d10d90b82a8eb3e1f163bef5d5654655d5b1df347bfca268a1a
e6ed227a776de510,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_28.mp4,HELLO,0,3650ba71c6a6fd87944ae7c9ac7037fecf71e7d47d4318a4aee8d64454003072,PASS,development,0,source-group-e6ed227a776de510,abc053b4cf39fa85c4030da620eeb002bd71881aef999694a534caa3bb47ca24
b7c6e9d86395af27,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_30.mp4,HELLO,0,cb3369d91dd9d4207f02f554bf45d9b5eb641330b1cdc82b7c19234936578eef,PASS,sealed_test,,source-group-b7c6e9d86395af27,652d08dc211a503000b093316caf55fd0383c40ce3d9ded38135088487c1c552
c63333e6aa6cc7b9,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_31.mp4,HELLO,0,1f9b8fc9d2930e403af0bbe7289a1523b03561e5ec08ec9890229b1d2e977739,PASS,development,2,source-group-c63333e6aa6cc7b9,e62a520abc00681cb57be93fc4d0da8fd0fc5e76f00d94f5e3e057f678764d4e
353d6b425c535fd3,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_36.mp4,HELLO,0,f2ba6d4f36d70ea9b18d8e32681446d33f70b5588e933593ef5a836b86d3cdf4,PASS,development,0,source-group-353d6b425c535fd3,740460be69e1b7b18846411f2df9c84ab1794fbd03c6e5ec818396567c893bc3
a31308a9d77e972d,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_38.mp4,HELLO,0,c5c58d7d7be79d5696edcec03d745772a38684c3e52fdc642359a67becf65ff4,PASS,development,1,source-group-a31308a9d77e972d,df95cc273608e87a8022991e272abe269a75db22510494d5152fd1055cac855a
5bd07b798bffba22,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_40.mp4,HELLO,0,ea2ee38671dc8956d4a8073696bbd60b3b2ca5e0086bad08f7616522fdb6214f,PASS,development,0,source-group-5bd07b798bffba22,4ce1afb1017d247d141bc3b14ae4d48798f35e25fa1a5612b4445c3f6203c71e
d5c1e0bcb5afc977,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_42.mp4,HELLO,0,fead762e934117eb700131b53014adcafea655d7b3dd93ecd41134b84d24c679,PASS,development,1,source-group-d5c1e0bcb5afc977,21c15374f1a5436683481a9d164c0c50a47f9c530bff910361421e154604c4f7
cac572c15e111810,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_44.mp4,HELLO,0,4a0651f173d68e2f20769c9ee7e13012a88402529213631bd6f1651d7a530a2c,PASS,development,0,source-group-cac572c15e111810,e7551c5d4364021e096264f6e5f46040cf6d62067fb55de84c8b731dbfca03b0
699f83d5b7405011,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_48.mp4,HELLO,0,3175ac0231c14958cb6407e62effd47fe2bf1087d227c39ec68929e9ae02cb59,PASS,sealed_test,,source-group-699f83d5b7405011,31e4ef37101cf9e545d7eb9daea250316742214bc55e9915f469cea0895e3fb0
3d3d5c060921d9f6,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/YES/YES_1.mp4,YES,1,334286043ea40736fa64d83491da31772d358590da13158e49848502361bc236,PASS,sealed_test,,source-group-3d3d5c060921d9f6,6c994d2144df0e5fb0b988ba1f16530d753da531265ea16a8b2ee1c50eb611fd
149500f4c7eed7ad,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/YES/YES_10.mp4,YES,1,8f0b8acbc4fb39f30c3df324caa88fcb550aee0ed8a5c455b8b8506d578b734f,PASS,development,2,source-group-149500f4c7eed7ad,2724c56a0a42ea3304263c3ec9920788d0c2451b05b097f918ad7f665b887df0
4a078739588f65a5,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/YES/YES_11.mp4,YES,1,d5ebb9ec6f0b1b906166baf9cb21e7a0bf48725c00099804083faa0ab84ffd91,PASS,development,0,source-group-4a078739588f65a5,d68b0ed769160f15aae53fb1f48ddb1016b2820aa7448386e1683448ceac5c25
c99d1f2068f7a9b5,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/YES/YES_12.mp4,YES,1,2553483e207971640afea71448b724d781a06d896cd7e820bac98716417f7c73,PASS,development,1,source-group-c99d1f2068f7a9b5,bd61e2b348c6f0513caca763a96db1d46414775701e27a0e27f71e7e1e4b8236
2083cf9e01330c64,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/YES/YES_13.mp4,YES,1,278b4f04e93203b208ad5b2e69cff9e129272ef6866d1d174672c3876468fa8d,PASS,development,0,source-group-2083cf9e01330c64,483957f33ebbd39eca736f019a32a293db7c97f008e7c08824ae6401e9af780d
4ebb81ee0eba3583,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/YES/YES_15.mp4,YES,1,4ee7f2e14343be0943af28012f80be7ff80d6898fb55bb850a6f0af226e6e1bb,PASS,sealed_test,,source-group-4ebb81ee0eba3583,d49a0687becf48958f1a6f7886a0872107c30162d875f351c7c2d508e78e01ff
e4257613e0b4e59a,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/YES/YES_16.mp4,YES,1,960fb1cf300e4a3620d7ea1ee271623b1bef5f1cc71920ae2cf974cba4eac79d,PASS,development,3,source-group-e4257613e0b4e59a,c0ebd8d14981fbcd55a47d5667398ceaf9397fd8ca14e036305b56b194470fa1
b699378492239605,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/YES/YES_17.mp4,YES,1,3990b164a7185f746d465b3a6e1b989b669445feba01b9c1fd8b09278b8d53a5,PASS,development,2,source-group-b699378492239605,735ed42be368e80ed1235aeab51a1b28b15d55848a121efad75918ef65d60143
e9d29e8c1489a156,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/YES/YES_18.mp4,YES,1,e8c437c9e3b258f27485494d85983721eb20ab7b62f2627b2496dc8338d27312,PASS,development,1,source-group-e9d29e8c1489a156,fe1e6fe05386e3f02f9557be8c3c48bf51a6d4daceffcec6a1b5071c392c7cd7
e378ae8ccfb4eb39,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/YES/YES_2.mp4,YES,1,4b31fa6ec477524473b7b945336db5c5ed005a5ea6b24390b7653332c2dfc12d,PASS,development,3,source-group-e378ae8ccfb4eb39,0200ed2bd4588c98f6604a9be38bc9b3fc376ee54adaf730ac72e3955841f698
